epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,259.954,0.37705,0.97317,0.98858,0.15667,0.000222087,0.000222087,0.000222087
2,1200.6,0.05948,0.97231,0.98772,0.37864,0.000422421,0.000422421,0.000422421
3,1500.51,0.05814,0.97288,0.98687,0.2755,0.000600745,0.000600745,0.000600745
4,1774.67,0.06125,0.97545,0.9843,0.2099,0.00056795,0.00056795,0.00056795
5,2068.75,0.05424,0.97488,0.98658,0.09379,0.000534934,0.000534934,0.000534934
6,2365.51,0.05504,0.98002,0.99286,0.05809,0.000501917,0.000501917,0.000501917
7,2665.46,0.04962,0.97602,0.99172,0.09308,0.000468901,0.000468901,0.000468901
8,2936.89,0.0453,0.97916,0.99657,0.07104,0.000435884,0.000435884,0.000435884
9,3750.82,0.0403,0.97859,0.99286,0.18412,0.000402868,0.000402868,0.000402868
10,4051.91,0.03745,0.98373,0.99686,0.0738,0.000369851,0.000369851,0.000369851
11,4340.76,0.03047,0.98202,0.99115,0.12374,0.000336835,0.000336835,0.000336835
12,4635.9,0.02757,0.98601,0.99715,0.0511,0.000303818,0.000303818,0.000303818
13,4919.33,0.02546,0.98458,0.996,0.08105,0.000270802,0.000270802,0.000270802
14,5202.06,0.02054,0.98401,0.99715,0.0953,0.000237785,0.000237785,0.000237785
15,9260.62,0.01905,0.98401,0.99515,0.16874,0.000204769,0.000204769,0.000204769
16,9633.91,0.01699,0.9883,0.99914,0.05492,0.000171752,0.000171752,0.000171752
17,9930.83,0.01458,0.98601,0.99772,0.06138,0.000138736,0.000138736,0.000138736
18,10222.1,0.01308,0.99001,0.99914,0.04197,0.00010572,0.00010572,0.00010572
19,10487.8,0.01132,0.98715,0.998,0.08201,7.2703e-05,7.2703e-05,7.2703e-05
20,10771.7,0.01039,0.98915,0.99857,0.0524,3.96865e-05,3.96865e-05,3.96865e-05
